,Lat,Long
Alexander II Magnet School,32.83274,-83.6449
Appling Middle School,32.86143,-83.60227
Bernd Elementary School,32.81424,-83.56781
Bruce Elementary School,32.79879,-83.65147
Central High School,32.83685,-83.6564
Hartley Elementary School,32.82131,-83.67893
Heard Elementary School,32.72325,-83.68739
Ingram/Pye Elementary School,32.82103,-83.65271
Northeast High School,32.86651,-83.62131
Porter Elementary School,32.73709,-83.69208
Southwest High School,32.80959,-83.67463
Williams Elementary School,32.84516,-83.64654
