,Lat,Long
Bowdon Elementary School,33.52637,-85.2525
Bowdon High School,33.53835,-85.26144
Central Elementary School,33.5418,-85.06999
Central High School,33.5521,-85.06827
Central Middle School,33.53879,-85.06558
Mount Zion Elementary School,33.63499,-85.18653
Roopville Elementary School,33.46217,-85.13137
Sand Hill Elementary School,33.63938,-84.97094
Temple Elementary School,33.74016,-85.03764
Temple High School,33.73253,-85.02521
Villa Rica High School,33.72711,-84.94621
Whitesburg Elementary School,33.49728,-84.91751
