,Lat,Long
Beach High School,32.05479,-81.11589
Bloomingdale Elementary School,32.12742,-81.30041
Butler Elementary School,32.06389,-81.12587
Ellis Elementary School,32.04687,-81.0971
Gadsden Elementary School,32.06837,-81.10609
Gould Elementary School,32.04728,-81.18574
Groves High School,32.1073,-81.15673
Haven Elementary School,32.03432,-81.1241
Heard Elementary School,32.01832,-81.10351
Hodge Elementary School,32.05564,-81.1154
Howard Elementary School,32.00821,-80.98518
Hubert Middle School,32.06623,-81.08493
Jacob G. Smith Elementary School,32.03642,-81.10072
Jenkins High School,32.02309,-81.08323
Largo-Tibet Elementary School,31.99416,-81.14177
Mercer Middle School,32.11192,-81.16113
Pooler Elementary School,32.12117,-81.25201
Port Wentworth Elementary School,32.14163,-81.15884
White Bluff Elementary School,31.99084,-81.12615
Windsor Forest Elementary School,31.97483,-81.14346
Windsor Forest High School,31.97602,-81.15275
