,Lat,Long
Ball Ground Elementary School,34.341070666,-84.377080166
Boston Elementary School,34.130395000,-84.590005000
Cherokee High School,34.234904000,-84.501462000
Clayton Elementary School,34.332051000,-84.489281000
Etowah High School,34.116145000,-84.564249000
Hickory Flat Elementary School,34.171132000,-84.423802000
Johnston Elementary School,34.131711000,-84.493553000
Macedonia Elementary School,34.248703000,-84.357274000
Mountain Road Elementary School,34.139278000,-84.406661000
Oak Grove Elementary School,34.096435000,-84.612082000
Sequoyah High School,34.171752000,-84.429740000
Sixes Elementary School,34.172200000,-84.553954000
Teasley Middle School,34.216081000,-84.520912000
