,Lat,Long
Barnett Shoals Elementary School,33.902570000,-83.337950000
Barrow Elementary School,33.941520000,-83.382890000
Chase Street Elementary School,33.964660000,-83.394210000
Clarke Central High School,33.950640000,-83.390320000
Clarke Middle School,33.945860000,-83.403680000
Cleveland Road Elementary School,33.966910000,-83.505230000
Fowler Drive Elementary School,33.988984400,-83.362382400
Hilsman Middle School,33.930300000,-83.336760000
Oglethorpe Avenue Elementary School,33.963350000,-83.422440000
Timothy Elementary School,33.936920000,-83.447690000
Whit Davis Road Elementary School,33.903710000,-83.317230000
Whitehead Road Elementary School,33.979920000,-83.433890000
Winterville Elementary School,33.968330000,-83.290280000
