,Lat,Long
Adamson Middle School,33.589320000,-84.284750000
Anderson Elementary School,33.641540000,-84.333680000
Arnold Elementary School,33.523630000,-84.351480000
Babb Middle School,33.603364900,-84.352752200
Brown Elementary School,33.494730000,-84.364000000
Church Street Elementary School,33.563340000,-84.418100000
East Clayton Elementary School,33.613720000,-84.299700000
Edmonds Elementary School,33.633160000,-84.349130000
Forest Park High School,33.605140000,-84.353220000
Forest Park Middle School,33.622200000,-84.359470000
Fountain Elementary School,33.611450000,-84.373030000
Haynie Elementary School,33.586100000,-84.353950000
Huie Elementary School,33.638980000,-84.348950000
Jonesboro High School,33.542710000,-84.341610000
Kilpatrick Elementary School,33.548670000,-84.357130000
Lake City Elementary School,33.607820000,-84.355110000
Lake Ridge Elementary School,33.539490000,-84.432160000
Lee Street Elementary School,33.524020000,-84.356360000
Lovejoy High School,33.451470000,-84.313640000
Lovejoy Middle School,33.440650000,-84.320790000
Morrow Elementary School,33.588290000,-84.343000000
Morrow High School,33.593900000,-84.313690000
Morrow Middle School,33.591970000,-84.313850000
Mount Zion Elementary School,33.556410000,-84.293340000
Mount Zion High School,33.554300000,-84.308770000
North Clayton High School,33.609480000,-84.440960000
North Clayton Middle School,33.604332000,-84.446534900
Northcutt Elementary School,33.605770000,-84.447500000
Oliver Elementary School,33.578360000,-84.445460000
Pointe South Elementary School,33.518190000,-84.393870000
Pointe South Middle School,33.517690500,-84.370828500
River's Edge Elementary School,33.420280000,-84.389260000
Riverdale Elementary School,33.573240000,-84.407350000
Riverdale High School,33.556980000,-84.402160000
Riverdale Middle School,33.562790000,-84.407150000
Suder Elementary School,33.514780000,-84.345210000
Swint Elementary School,33.534920000,-84.375600000
Tara Elementary School,33.571040000,-84.360430000
West Clayton Elementary School,33.603230000,-84.430520000
