,Lat,Long
Colquitt County High School,31.171595200,-83.763284800
Cox Elementary School,31.169174800,-83.774665000
Doerun Elementary School,31.326989100,-83.918694000
Funston Elementary School,31.200765000,-83.872804900
Hamilton Elementary School,31.126830000,-83.953220000
Norman Park Elementary School,31.269630000,-83.694170000
Odom Elementary School,31.116537200,-83.664726000
Okapilco Elementary School,31.246250000,-83.804290000
Stringfellow Elementary School,31.175069900,-83.791071600
Sunset Elementary School,31.102355000,-83.796037500
Willie J. Williams Middle School,31.170220000,-83.795140000
Wright Elementary School,31.162860000,-83.786530000
