,Lat,Long
Blue Ridge Elementary School,33.537850000,-82.105570000
Brookwood Elementary School,33.484340000,-82.154350000
Columbia Middle School,33.524740000,-82.267040000
Evans Elementary School,33.543200000,-82.154480000
Evans High School,33.524650000,-82.148280000
Evans Middle School,33.537950000,-82.130070000
Grovetown Elementary School,33.446390000,-82.195670000
Harlem High School,33.456720000,-82.312650000
Harlem Middle School,33.419730000,-82.317720000
Lakeside High School,33.536900100,-82.104299900
Lakeside Middle School,33.536481900,-82.104308500
Martinez Elementary School,33.506210000,-82.106680000
North Columbia Elementary School,33.587190000,-82.318980000
North Harlem Elementary School,33.422210000,-82.318620000
Riverside Elementary School,33.579150000,-82.130150000
Riverside Middle School,33.572230000,-82.116950000
South Columbia Elementary School,33.523790000,-82.105730000
Stevens Creek Elementary School,33.550490000,-82.080150000
Westmont Elementary School,33.496370000,-82.146730000
