,Lat,Long
Arnall Middle School,33.392670000,-84.701990000
Arnco-Sargent Elementary School,33.437900000,-84.873280000
Atkinson Elementary School,33.367010000,-84.799850000
East Coweta High School,33.347450000,-84.659720000
Eastside Elementary School,33.264130000,-84.579470000
Elm Street Elementary School,33.383370000,-84.807430000
Evans Middle School,33.389240000,-84.817110000
Jefferson Parkway Elementary School,33.333787100,-84.842597000
Moreland Elementary School,33.284370000,-84.768860000
Newnan Crossing Elementary School,33.376820000,-84.748520000
Newnan High School,33.364677100,-84.811485400
Northside Elementary School,33.423652700,-84.796060300
Ruth Hill Elementary School,33.373640000,-84.816950000
Thomas Crossroads Elementary School,33.407326500,-84.669139500
Western Elementary School,33.390360000,-84.889140000
White Oak Elementary School,33.394610000,-84.701650000
