,Lat,Long
Albany Middle School,31.592300000,-84.109530000
Dougherty Comprehensive High School,31.566910000,-84.101190000
Lake Park Elementary School,31.596430000,-84.209110000
Merry Acres Middle School,31.587730000,-84.188310000
Monroe High School,31.557270000,-84.170110000
Morningside Elementary School,31.216482500,-81.467038100
Northside Elementary School,31.606010000,-84.174360000
Radium Springs Elementary School,31.533080000,-84.127970000
Radium Springs Middle School,31.519040000,-84.128220000
Turner Elementary School,31.577850000,-84.099950000
West Town Elementary School,31.562350000,-84.203640000
Westover High School,31.589420000,-84.217250000
