,Lat,Long
Alexander High School,33.684000000,-84.789550000
Annette Winn Elementary School,33.783672333,-84.638710022
Arbor Station Elementary School,33.712070000,-84.751150000
Beulah Elementary School,33.774300000,-84.703350000
Chapel Hill Middle School,33.695870000,-84.719220000
Chestnut Log Middle School,33.736650000,-84.691670000
Dorsett Shoals Elementary School,33.682880000,-84.766120000
Douglas County High School,33.744840000,-84.743810000
Factory Shoals Elementary School,33.722701100,-84.659260300
Fairplay Middle School,33.616810000,-84.847500000
Lithia Springs Comprehensive High School,33.756000000,-84.657900000
Lithia Springs Elementary School,33.786720000,-84.660230000
Mount Carmel Elementary School,33.741398800,-84.680716700
South Douglas Elementary School,33.616830000,-84.847590000
Stewart Middle School,33.757880000,-84.747500000
Turner Middle School,33.787495500,-84.661131500
Winston Elementary School,33.728480000,-84.821010000
