,Lat,Long
Booth Middle School,33.402930000,-84.567320000
Braelinn Elementary School,33.370160000,-84.536460000
Flat Rock Middle School,33.495280000,-84.572100000
Huddleston Elementary School,33.384252200,-84.570988200
North Fayette Elementary School,33.510934900,-84.470606200
Oak Grove Elementary School,33.381400000,-84.543330000
Peachtree City Elementary School,33.409014500,-84.597797200
Robert J. Burch Elementary School,33.495010000,-84.572390000
Sandy Creek High School,33.492250000,-84.572910000
Whitewater Middle School,33.387390000,-84.476200000
