,Lat,Long
Alto Park Elementary School,34.259330000,-85.233610000
Armuchee Elementary School,34.364030000,-85.172680000
Cave Spring Elementary School,34.109014600,-85.335499400
Coosa High School,34.263770000,-85.304430000
Garden Lakes Elementary School,34.284830000,-85.239490000
Glenwood Primary School,34.312886900,-85.164470000
Model Elementary School,34.309860000,-85.099720000
Pepperell High School,34.180510000,-85.179110000
Pepperell Middle School,34.167074200,-85.182070000
Pepperell Primary,34.180915100,-85.175350200
