,Lat,Long
Alpharetta Elementary School,34.082020000,-84.301560000
Banneker High School,33.592990000,-84.518330000
Barnwell Elementary School,34.010430000,-84.250030000
Bear Creek Middle School,33.555680000,-84.624700000
Bethune Elementary School,33.593230000,-84.480340000
Brookview Elementary School,33.646700000,-84.495460000
Camp Creek Middle School,33.638640000,-84.528610000
Campbell Elementary School,33.572210000,-84.575220000
Chattahoochee High School,34.049650000,-84.208480000
Conley Hills Elementary School,33.685120000,-84.457130000
Crabapple Crossing Elementary School,34.095426200,-84.339175100
Crabapple Middle School,34.040320000,-84.363390000
Creekside High School,33.556654700,-84.623918800
Dolvin Elementary School,34.036030000,-84.232790000
E. C. West Elementary School,33.571610000,-84.619830000
Findley Oaks Elementary School,34.060660000,-84.184550000
Gullatt Elementary School,33.588630000,-84.538270000
Hapeville Elementary School,33.660290000,-84.406170000
Haynes Bridge Middle School,34.040630000,-84.281880000
Heards Ferry Elementary School,33.918585500,-84.420207600
High Point Elementary School,33.898620000,-84.369050000
Holcomb Bridge Middle School,33.993280000,-84.283640000
Jackson Elementary School,34.011350000,-84.318390000
Lake Windward Elementary School,34.068498900,-84.210723400
Lee Elementary School,33.627460000,-84.538940000
Medlock Bridge Elementary School,34.029420000,-84.190820000
Mimosa Elementary School,34.036615700,-84.330758600
Mountain Park Elementary School,34.071740000,-84.404580000
New Prospect Elementary School,34.052600000,-84.274100000
Nolan Elementary School,33.572000000,-84.481450000
North Springs High School,33.957490000,-84.361950000
Palmetto Elementary School,33.529440000,-84.670050000
Parklane Elementary School,33.678340000,-84.424920000
Randolph Elementary School,33.704190000,-84.557310000
Roswell High School,34.062830000,-84.380800000
Roswell North Elementary School,34.038100000,-84.368240000
S. L. Lewis Elementary School,33.576240000,-84.503380000
Taylor Road Middle School,34.053120000,-84.208460000
Tri-Cities High School,33.684960000,-84.436940000
Westlake High School,33.691340000,-84.578330000
Woodland Middle School,33.669820000,-84.481020000
