,Lat,Long
Chestnut Mountain Elementary School,34.174844000,-83.840698000
East Hall High School,34.334289000,-83.743030000
East Hall Middle School,34.308446000,-83.741517000
Flowery Branch Elementary School,34.201061000,-83.927695000
Johnson High School,34.224461670,-83.853656500
Lanier Elementary School,34.400460000,-83.889942000
Lula Elementary School,34.391323330,-83.662188330
Lyman Hall Elementary School,34.263650330,-83.853550330
Mount Vernon Elementary School,34.420811000,-83.839286000
Myers Elementary School,34.209588000,-83.783774000
North Hall High School,34.426550000,-83.850987000
North Hall Middle School,34.422409000,-83.857483000
Oakwood Elementary School,34.226052000,-83.880783000
Riverbend Elementary School,34.333570170,-83.812481170
Sardis Elementary School,??.?????????,??.?????????
South Hall Middle School,34.222301000,-83.859540000
Spout Springs Elementary School,34.145798000,-83.889561000
Tadmore Elementary School,34.274508000,-83.728127000
Wauka Mountain Elementary School,34.445615000,-83.803115000
West Hall High School,34.217863000,-83.910748000
West Hall Middle School,34.221522000,-83.909724000
White Sulphur Elementary School,34.311460000,-83.775344000
