,Lat,Long
Austin Road Elementary School,33.606394830,-84.183765670
Cotton Indian Elementary School,33.561393830,-84.201203830
Eagle's Landing High School,33.490607330,-84.208315500
Eagle's Landing Middle School,33.488403170,-84.208478670
Fairview Elementary School,33.609277000,-84.228135000
Hampton Elementary School,33.390292000,-84.287566000
Locust Grove Elementary School,33.338910000,-84.108581670
Oakland Elementary School,33.430469330,-84.197334170
Smith-Barnes Elementary School,33.537301000,-84.236293000
Stockbridge Elementary School,33.541839000,-84.230715000
Stockbridge High School,33.564062000,-84.202703000
Stockbridge Middle School,33.558088000,-84.222566000
Wesley Lakes Elementary School,33.447574000,-84.170009000
