,Lat,Long
Bonaire Elementary School,32.547151330,-83.600466500
Centerville Elementary School,32.629230000,-83.688090000
Houston County High School,32.553266670,-83.673648330
Kings Chapel Elementary School,32.454789000,-83.653211000
Lindsey Elementary School,32.639450000,-83.615970000
Miller Elementary School,32.615258000,-83.638733000
Morningside Elementary School,32.464147000,-83.710486000
Northside Elementary School,32.655235000,-83.656272000
Northside High School,32.627091000,-83.630810000
Northside Middle School,32.636385000,-83.643567000
Parkwood Elementary School,32.624502170,-83.629579830
Pearl Stephens Elementary School,32.600311457,-83.616194996
Perry High School,32.468390000,-83.725230000
Quail Run Elementary School,32.609090000,-83.688421670
Russell Elementary School,32.595527830,-83.635400670
Shirley Hills Elementary School,32.602830000,-83.650961000
Tucker Elementary School,32.448822000,-83.721863000
Warner Robins High School,32.609852670,-83.613693330
Warner Robins Middle School,32.597870000,-83.653660000
Westside Elementary School,32.621430000,-83.624160000
