,Lat,Long
Dallas Elementary School,33.915850000,-84.832200000
East Paulding High School,33.939268000,-84.746763000
East Paulding Middle School,33.933280000,-84.748144000
Herschel Jones Middle School,33.927388000,-84.845199000
Hiram Elementary School,33.879030000,-84.752920000
New Georgia Elementary School,33.810878000,-84.895044000
Northside Elementary School,33.954770000,-84.853544000
Paulding County High School,33.892018000,-84.832141000
South Paulding Middle School,33.818530000,-84.869722000
Union Elementary School,33.839350000,-84.981060000
