,Lat,Long
Barton Chapel Elementary School,33.441110500,-82.087369170
Bayvale Elementary School,33.448898330,-82.053166670
Blythe Elementary School,33.298454000,-82.207874000
Butler High School,33.418758330,-82.017249330
Copeland Elementary School,??.?????????,??.?????????
Davidson Magnet School,33.474206000,-81.976233000
Garrett Elementary School,33.509839000,-82.011782000
Glenn Hills Elementary School,33.425858170,-82.065664000
Glenn Hills High School,33.427079000,-82.068451000
Goshen Elementary School,33.338546000,-82.005386000
Gracewood Elementary School,33.370194000,-82.025090000
Hephzibah High School,33.302385000,-82.096981670
Hephzibah Middle School,33.301661830,-82.092716830
Jamestown Elementary School,33.392411670,-82.094055000
Johnson Magnet,33.465566000,-81.981193000
Josey High School,33.455963000,-82.002086000
Laney High School,33.467653330,-81.983081330
Langford Middle School,33.482662000,-82.043585830
Meadowbrook Elementary School,33.403780000,-82.071880000
Merry Elementary School,33.496070000,-82.039630000
Monte Sano Elementary School,33.469844000,-82.100509000
Murphey Middle School,33.445055000,-82.021002000
Spirit Creek Middle School,33.345260000,-82.077418330
Terrace Manor Elementary School,33.434960000,-82.058930000
Tobacco Road Elementary School,33.375262330,-82.056669330
Tutt Middle School,33.489734000,-82.039095000
Walker Traditional Elementary School,33.463549000,-81.984817000
Warren Road Elementary School,33.482361670,-82.041756670
Westside High School,33.517677000,-82.048241000
Willis Foreman Elementary School,33.342941670,-82.079840500
