,Lat,Long
Barksdale Elementary School,33.568510000,-84.028460000
Conyers Middle School,33.683673830,-84.004607170
Edwards Middle School,33.623433670,-84.036478830
Flat Shoals Elementary School,33.632192000,-83.991623000
Heritage High School,33.626850000,-84.046460000
Hightower Trail Elementary School,33.620671495,-84.068775421
Honey Creek Elementary School,33.597650000,-84.021740000
House Elementary School,33.721950000,-84.007360000
Memorial Middle School,33.602957670,-83.990260000
Pine Street Elementary School,33.668568170,-84.015483000
Rockdale County High School,33.667759000,-84.008286000
Salem High School,33.595440330,-83.989188000
Shoal Creek Elementary School,33.655580000,-84.062040000
Sims Elementary School,33.621890000,-84.050270000
