,Lat,Long
Antioch Elementary School,34.741055000,-84.934043000
Cohutta Elementary School,34.960888000,-84.948772000
Dawnville Elementary School,34.820770000,-84.877860000
Dug Gap Elementary School,34.733486000,-85.001148000
Eastbrook Middle School,34.745271000,-84.928316000
Eastside Elementary School,34.758404000,-84.928939000
North Whitfield Middle School,34.862069000,-84.942978000
Northwest Whitfield County High School,34.874832089,-85.005759254
Phoenix High School,34.759103000,-84.928452000
Pleasant Grove Elementary School,34.831951000,-84.945405000
Southeast Whitfield County High School,34.735623000,-84.939938000
Tunnel Hill Elementary School,34.845965000,-85.044922000
Valley Point Elementary School,34.680876670,-84.986523330
Valley Point Middle School,34.681295000,-84.989216000
Varnell Elementary School,34.896492000,-84.946728000
Westside Elementary School,34.783241000,-85.049474000
Westside Middle School,34.785774000,-85.050376000
