,Address
Alexander II Magnet School,1156 College Street Macon   GA 31201
Appling Middle School,1210 Shurling Drive Macon   GA 31211-2035
Bernd Elementary School,4160 Ocmulgee East Boulevard Macon   GA 31217
Bruce Elementary School,3660 Houston Avenue Macon   GA 31206-2414
Central High School,2155 Napier Avenue Macon   GA 31204-3655
Hartley Elementary School,2230 Anthony Road Macon   GA 31204
Heard Elementary School,6515 Houston Road Macon   GA 31216
Ingram/Pye Elementary School,855 Anthony Road Macon   GA 31204-6266
Northeast High School,1646 Upper River Road Macon   GA 31211-1524
Porter Elementary School,5802 School Road Macon   GA 31216
Southwest High School,1730 Canterbury Road Macon   GA 31206-3318
Williams Elementary School,325 Pursley Street Macon   GA 31201-1127
