,Address
Bowdon Elementary School,223 Kent Avenue Bowdon   GA 30108-1607
Bowdon High School,504 West College Street Bowdon   GA 30108-1314
Central Elementary School,175 Primary School Road Carrollton   GA 30116-8956
Central High School,113 Central Road Carrollton   GA 30116-4452
Central Middle School,155 Whooping Creek Road Carrollton   GA 30116-8999
Mount Zion Elementary School,4485 Mount Zion Road Mount Zion   GA 30150
Roopville Elementary School,60 Old Carrollton Road Roopville   GA 30170-2125
Sand Hill Elementary School,45 Sand Hill School Road Carrollton   GA 30117-9736
Temple Elementary School,95 Otis Street Temple   GA 30179
Temple High School,589 Sage Street Temple   GA 30179
Villa Rica High School,600 Rocky Branch Road Villa Rica   GA 30180-2208
Whitesburg Elementary School,868 Main Street Whitesburg   GA 30185-9511
